Цель,масса
Уровень,intermediate
Частота,4 тр/нед
Клуб,HJ Colibri
Фокус,"баланс, верх_тела, выносливость"
График,W1:4 | W2:4 | W3:5 | W4:3 | W5:4 | W6:5 | W7:5 | W8:3
Всего,33 тренировок

Part 1,Пн,Вт,Ср,Чт,Пт,Сб,Вс,Тренировок
W1,push,legs,,pull,bootcamp,,,4
W2,upperBody,legs,,push,pull,,,4
W3,push,pull,legs,,fullBody,metcon,,5
W4,pull,,push,,legs,,,3

Part 2,Пн,Вт,Ср,Чт,Пт,Сб,Вс,Тренировок
W5,pull,push,,legs,armBlast,,,4
W6,fullBody,legs,pull,,push,gluteLab,,5
W7,push,pull,legs,,armBlast,bootcamp,,5
W8,pull,,push,,metcon,,,3

Тип,Кол-во,%
push,8,24.2%
pull,8,24.2%
legs,7,21.2%
bootcamp,2,6.1%
fullBody,2,6.1%
metcon,2,6.1%
armBlast,2,6.1%
upperBody,1,3.0%
gluteLab,1,3.0%
Итого,33,100%
